Year,GDP
2000,7.03291
2001,-2.24037
2002,3.22409
2003,3.90779
2004,8.55798
2005,5.13232
2006,5.62173
2007,4.82426
2008,-2.33749
2009,-3.72552
2010,10.85277
2011,3.66179
2012,2.40252
2013,3.21755
2014,2.58576
2015,1.76334
2016,2.20535
2017,3.52413
2018,2.60841
2019,0.52741
2020,-6.13499
