Year,GDP
2000,2.89865
2001,1.6153
2002,-0.29741
2003,-0.79655
2004,1.13532
2005,0.78569
2006,3.98275
2007,3.22275
2008,1.224
2009,-5.50057
2010,4.27392
2011,3.88839
2012,0.2734
2013,0.18798
2014,1.86319
2015,1.0737
2016,1.72459
2017,2.10304
2018,0.51932
2019,0.58043
2020,-4.87361
