Year,GDP
2000,2.90868
2001,-0.07329
2002,0.7503
2003,1.89661
2004,2.9506
2005,2.55751
2006,1.82821
2007,1.04355
2008,-0.82714
2009,-3.49709
2010,1.81014
2011,0.71146
2012,1.47954
2013,1.08333
2014,1.55823
2015,2.00063
2016,0.99465
2017,1.60495
2018,2.28595
2019,1.67692
2020,-3.97008
