Year,GDP
2000,3.48237
2001,2.23518
2002,3.09063
2003,3.37654
2004,3.6309
2005,4.2896
2006,4.10752
2007,4.94647
2008,4.62003
2009,3.24733
2010,4.81228
2011,4.74831
2012,4.60648
2013,4.15143
2014,3.63907
2015,3.55506
2016,3.75884
2017,3.8412
2018,3.98782
2019,3.87144
2020,-3.10714
